FarmID,State,Crop,Season,SoilType,FarmingMethod,IrrigationType,FertilizerUsed,PesticideUsed,ImprovedSeed,FarmSize(Hectares),Rainfall(mm),Temperature(°C),Humidity(%),SoilPH,Fertilizer(kg/ha),Pesticide(L/ha),FarmExperience(Years),NumWorkers,DistanceToMarket(km),CreditAccess,ExtensionServices,PreviousYield(tons/ha),PlantingDensity(plants/ha),ActualYield(tons/ha),YieldCategory
FRM000026,Jigawa,Soybean,Wet Season,L,Rain-fed,Sprinkler,No,No,Yes,2.0,1038.1,31.5,65.5,5.88,59.5,4.16,5,3,9.8,1,0,2.65,63101.0,3.04,AVERAGE
FRM000027,Niger,Rice,Wet Season,Clay,Rain-fed,Flood,Yes,Yes,Yes,2.96,1015.5,26.5,69.7,7.01,75.6,3.56,5,1,34.8,1,1,2.59,52224.0,2.69,Average
FRM000028,Kaduna,Rice,dry,Loamy,Rain-fed,Flood,No,No,No,0.54,1173.6,19.8,50.9,5.27,78.6,6.8,18,1,18.2,0,0,3.46,58336.0,1.31,Low
FRM000029,Gombe,Cowpea,Dry Season,loamy,Mixed,None,No,No,No,3.97,800.0,21.5,67.6,6.01,43.2,1.01,23,3,29.7,1,0,2.2,54756.0,1.79,low
FRM000030,Zamfara,Cassava,dry,Loamy,Irrigation,Drip,Yes,Yes,Yes,4.72,895.9,28.7,84.3,6.81,55.4,1.21,12,5,12.4,0,1,3.36,65116.0,6.63,EXCELLENT
FRM000031,Kano,Cassava,Dry Season,loamy,Irrigation,Sprinkler,No,no,No,0.47,522.9,30.8,59.6,6.42,28.6,5.21,16,4,31.1,1,1,6.01,55500.0,4.07,Moderate
FRM000032,Gombe,Groundnut,Wet Season,Sandy,Mixed,sprinkler,Yes,Yes,No,1.69,1141.5,21.6,52.0,6.23,103.9,4.83,17,3,10.5,0,1,3.88,66800.0,2.6,Average
FRM000033,Taraba,Cowpea,Rainy,Loamy,Rain-fed,drip,Y,Yes,No,0.99,778.3,26.1,70.2,6.06,96.6,4.93,7,2,2.1,0,0,2.04,78243.0,2.31 t/ha,low
FRM000034,Niger,Wheat,Rainy,Loamy,Irrigation,Flood,0,Yes,Yes,0.64,668.6,27.4,44.3,5.03,102.7,7.51,16,2,4.7,1,0,1.49,43595.0,2.48,Average
FRM000035,Bauchi,Millet,wet season,Loamy,Mixed,Flood,No,N,No,0.97,650.2,32.9,66.9,47.5,77.1,1.71,17,2,16.3,0,1,2.35,53285.0,1.67,low
FRM000036,Gombe,Soybean,Wet Season,Silt,Irrigated,Flood,Yes,No,no,3.08,675.1,27.7,68.3,5.98,109.8,3.06,12,4,1.0,0,0,2.84,62038.0,2.74,Average
FRM000037,Plateau,Millet,WET,Loamy,Rain-fed,None,Yes,No,Yes,9.87,861.6,32.9°C,53.8,5.82,50.4,2.66,13,4,15.4,0,1,3.12,54898.0,3.3,Average
FRM000038,Kano,Rice,Wet Season,Sandy,Mixed,None,Yes,No,yes,5.22,732.5,19.0,67.2,6.1,0.2,4.99,27,4,15.4,0,0,0.2,35595.0,2.09,Low
FRM000039,Adamawa,Sorghum,Rainy,Loamy,irrigation,Flood,Yes,Yes,1,0.12,558.1,32.8,78.9,6.84,3.5,5.09,9,4,33.6,1,0,2.73,34217.0,2.86,MODERATE
FRM000040,Adamawa,Maize,Dry Season,loamy,Rainfed,Flood,No,Yes,Yes,0.29,923.1,28.7,60.9 percent,7.04,84.8,4.4,8,3,16.2,1,1,4.7,65022.0,3.78,Moderate
FRM000041,Yobe,Maize,Rainy,clay,Rainfed,None,0,No,yes,1.32,1264.6,27.5,43.8,6.51,114.1,5.6,0,4,21.1,0,1,3.77,65193.0,2.71,MODERATE
FRM000042,Taraba,Cowpea,Dry Season,Sandy,IRRIGATION,Drip,Yes,Yes,Yes,6.32,995.0,26.2,55.2,pH 6.79,58.7,6.49,7,5,28.1,1,1,3.16,63790.0,5.29,Excellent
FRM000043,Gombe,Cassava,dry season,L,irrigation,Sprinkler,Y,No,Yes,0.1,997.1,24.0,58.0,6.65,101.3,2.67,18,3,12.3,0,1,1.68,74414.0,5.23,High
FRM000044,Gombe,Sorghum,Rainy,Clay,Rain-fed,Sprinkler,Yes,No,Yes,1.52,988.8,29.1,82.6,6.51,91.3,3.15,0,3,26.0,1,1,3.18,54523.0,4.14,MODERATE
FRM000045,Yobe,Cowpea,Wet Season,Loamy,Mixed,Drip,Yes,Yes,Yes,14.45,762.4,25.3 degrees,51.1,6.1,156.8,6.16,14,3,15.6,1,0,3.75,85296.0,7.14,H
FRM000046,Jigawa,Rice,Rainy,Loamy,Mixed,Sprinkler,No,yes,Yes,1.03,678.2,22.8,57.5,4.0,72.0,0.97,12,7,32.6,1,0,1.67,57916.0,1.37,L
FRM000047,Jigawa,Sorghum,Wet Season,Clay,Irrigation,flood,yes,Yes,0,-7.12,955.5,26.0,62.5,6.21,133.8,2.03,9,4,42.0,1,1,4.72,61968.0,4.85,HIGH
FRM000048,Yobe,Maize,Dry Season,Loamy,Irrigation,Drip,Yes,Yes,Yes,4.44,1275.1,21.4,47.9,6.42,72.8,2.12,9,2,3.6,0,0,33.4,69337.0,5.32,High
FRM000049,Jigawa,Groundnut,wet season,loamy,Mixed,Flood,0,Yes,No,0.1,1073.5,32.2,33.2,6.82,141.5,8.45,0,10,10.0,1,0,2.35,42619.0,1.79,LOW
FRM000050,Katsina,Rice,Harmattan,Silt,Mixed,flood,Yes,No,Yes,0.72,664.1,28.8,33.8,6.13,112.0,1.37,20,4,5.0,1,1,2.21,67861.0,3.28,Moderate
FRM000051,Gombe,Cowpea,Wet Season,Sandy,irrigation,None,Yes,No,Yes,0.51,914.1,30.0,45.8,5.25,23.4,5.6,11,4,17.0,1,0,3.35,43662.0,3.07,medium
FRM000052,Kebbi,Wheat,dry season,Silt,Irrigation,Flood,Yes,Yes,yes,1.13,721.8,27.4,69.6 percent,7.35 pH,39.8,2.65,12,5,16.7,1,0,4.36,47275.0,2.56,Average
FRM000053,Sokoto,Yam,dry season,Loamy,Irrigated,Sprinkler,No,Yes,yes,5.51,897.2,29.7,61.3,6.98,106.4,4.81,10,5,28.8,1,0,30.099999999999998,61267.0,4.98,High
FRM000054,Plateau,Rice,Dry Season,Loamy,Irrigation,Flood,Yes,No,no,0.2,1149.1,22.5,62.8,5.92,99.1,3.39,16,1,11.9miles,0,1,4.33,50828.0,5.82,high
FRM000055,Katsina,Rice,Dry Season,Sandy,Irrigation,Drip,Yes,No,yes,0.5,340.9,29.9 degrees,47.7,5.43,99.0,0.96,14,2,26.6,1,0,1.98,53344.0,2.21,L
FRM000056,Zamfara,Wheat,wet season,Clay,Rain-fed,Sprinkler,No,0,No,0.14,976.3,30.3,59.7,6.26,52.4,2.78,9,1,5.1,0,1,2.85,62535.0,2.21,Poor
FRM000057,Katsina,Soybean,Wet Season,Sandy,irrigation,drip,Yes,No,Yes,6.63,861.0,25.1°C,52.7,4.33,92.7,2.69,0,1,13.4,1,1,0.77,88100.0,2.89,medium
FRM000058,Kebbi,Groundnut,wet season,Loamy,Irrigation,None,No,No,yes,0.33,907.0,32.6,51.6,5.34,65.7 kg/ha,0.84,14,4,16.0,0,0,2.35,71492.0,3.37,AVERAGE
FRM000059,Zamfara,Wheat,Rainy,Sandy,Irrigation,Drip,Yes,No,Yes,3.07 ha,952.9,27.2,80.3,6.31,165.2,4.69,11,5,12.6,0,1,4.67,57572.0,6.5,HIGH
FRM000060,Plateau,Millet,Rainy,loamy,Rainfed,Sprinkler,No,Yes,No,1.27,556.2,31.9,79.0,5.63,70.7,7.78,14,3,55.7,1,0,1.7,55768.0,1.51,low
FRM000061,Kebbi,Millet,Dry Season,Sandy,Irrigation,None,Yes,0,Yes,2.57,1104.7,21.6,75.7,6.67,21.6,4.37,3,6,19.6,0,0,1.46,25323.0,3.12,AVERAGE
FRM000062,Kaduna,Rice,dry season,Clay,Rain-fed,Sprinkler,TRUE,No,Yes,1.47,9127.0,29.8 degrees,70.9,6.22,92.8,4.97,19,3,20.8,1,1,3.72,43466.0,2.64,MODERATE
FRM000063,Sokoto,Soybean,Wet Season,Loamy,Rain-fed,Sprinkler,Yes,No,Yes,0.59 acres,909.5 mm,28.7,73.7,4.98,96.2,5.6,14,7,38.2,1,0,4.34,34959.0,3.37,medium
FRM000064,Plateau,Maize,dry season,Loamy,IRRIGATION,None,Yes,No,No,0.18,692.2,27.3,97.3,4.8,56.0,0.11,14,6,26.0,0,1,3.43 t/ha,56708.0,2.13,MEDIUM
FRM000065,Gombe,Soybean,dry,Sandy,irrigation,None,No,0,no,0.91,1259.7,26.4,64.7,8.07,88.6kg,3.16,12,6,13.2,1,1,2.48,57202.0,2.51,Moderate
FRM000066,Jigawa,Millet,Dry Season,Loamy,Rain-fed,drip,No,No,Y,0.23,929.6,30.2,69.4,5.83,54.8 kg/ha,1.54,11,8,13.6,1,0,1.55,69840.0,3.53,Moderate
FRM000067,Kaduna,Soybean,dry season,Silt,Rain-fed,None,Yes,N,No,2.35,644.9,22.0,91.6,6.23,166.7,2.46,10,4,16.2,1,0,2.29,72117.0,,Moderate
FRM000068,Taraba,Soybean,Rainy,Loamy,Irrigated,Sprinkler,No,No,N,0.1,1148.7,31.2,98.4,6.45,119.1,3.1,5,4,2.8,0,1,2.67,66542.0,3.35,Average
FRM000069,Plateau,Groundnut,dry season,Sandy,Irrigation,sprinkler,Yes,1,Yes,1.05,631.6,23.7,59.1,6.41,79.8,3.33,19,5,25.0,1,0,2.92,57899.0,2.0,Medium
FRM000070,Taraba,Rice,Dry Season,Clay,Rain-fed,None,Yes,No,Yes,2.55,1166.9,26.0,,6.82,124.8,2.21,0,5,14.7,0,1,1.39,89665.0,2.5,AVERAGE
FRM000071,Zamfara,Groundnut,Wet Season,Loamy,Rain-fed,sprinkler,Yes,Yes,No,1.34,907.4,30.7,45.8,5.47,113.2,0.0,10,7,14.9,1,0,2.02,31303.0,3.38,Moderate
FRM000072,Kaduna,Maize,wet season,Silty,Irrigated,sprinkler,Yes,No,Yes,0.96,629.6,29.2°C,38.4,5.13,108.1,3.31,17,1,37.9,0,1,4.6,66543.0,3.28,MEDIUM
FRM000073,Sokoto,Maize,Dry Season,loamy,Mixed,None,N,0,No,1.56,771.9,25.3,50.3,6.3,84.0,4.28,14,5,18.6,0,1,2.77,41890.0,1.47,Poor
FRM000074,Gombe,Millet,WET,Clay,Rain-fed,None,Yes,Yes,yes,1.04,856.0,30.5,51.1,6.11,89.7,1.23,19,3,24.4,0,0,1.95,65048.0,3.51,Medium
FRM000075,Yobe,Cowpea,Dry Season,Sandy,Mixed,sprinkler,Yes,Yes,No,4.32,536.9,34.3,78.5,5.38,103.7,0.95,14,3,28.3,1,0,,54868.0,1.82,low
FRM000076,Gombe,Wheat,Rainy,Silt,rain-fed,Sprinkler,yes,Yes,No,0.16,729.5,31.8,86.5,7.33,46.8,2.75,12,4,22.0 km,1,0,,65099.0,1.04,Below Average
FRM000077,Kebbi,Cassava,Wet Season,Sandy,irrigation,Sprinkler,1,No,yes,1.71,974.7,28.3,57.6,5.57,65.9,2.93,6,3,23.6,1,1,2.04,57606.0,2.57,Medium
FRM000078,Gombe,Rice,Dry Season,Clay,Mixed,Flood,Yes,Yes,no,1.61,617.1,28.3,78.7,6.83,43.8,3.21,10,3,6.0,0,0,4.01,84355.0,2.09,Below Average
FRM000079,Bauchi,Cowpea,dry season,clay,IRRIGATION,Drip,Yes,yes,Yes,0.93 ha,605.3,30.9,53.6,6.45,52.9,2.07,13,3,7.0,1,0,3.3,47377.0,7.33,Excellent
FRM000080,Benue,Rice,Wet Season,Silt,Rain-fed,Flood,No,Yes,Yes,2.2,552.1 mm,29.1,55.9,6.28,0.6,4.22,9,6,26.2,1,0,2.39,63102.0,3.43,AVERAGE
FRM000081,Yobe,Wheat,dry season,Sandy,Mixed,Sprinkler,No,No,Yes,5.9,200.0,23.3,96.3,7.61,87.3,4.87,13,2,1.0,0,1,2.66,58363.0,1.3,low
FRM000082,Katsina,Wheat,Dry Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,0.1,641.4,31.9,91.0,7.85,116.5,6.79,15,5,44.7,0,0,4.42,54086.0,5.4,High
FRM000083,Jigawa,Sorghum,Wet Season,Loamy,Rain-fed,Sprinkler,no,1,Yes,0.45,904.2,,56.8,6.39,90.9,2.21,3,1,21.4,0,1,1.84,46051.0,3.23,MODERATE
FRM000084,Kano,Groundnut,Wet Season,Sandy,Irrigation,Drip,No,No,Yes,1.15,1149.5,22.6,46.0,6.27,73.6,0.22,10,1,2.2,1,1,3.75,47202.0,3.74,MEDIUM
FRM000085,Sokoto,Millet,Dry Season,clay,Rain-fed,flood,Yes,no,Yes,3.45,811.3,32.2,84.8%,6.06,138.0,2.63,15,3,18.2,0,0,5.25,58879.0,3.35,Average
FRM000086,Kaduna,Sorghum,wet,Sandy,Irrigation,None,Yes,Yes,yes,7.15,991.1,27.8,62.1,6.34,47.4,1.6,22,4,8.4,0,1,2.65,50663.0,7.31,high
FRM000087,Benue,Maize,Wet Season,Clay,Rain-fed,None,no,0,Yes,0.58,971.7,24.0,93.2,6.01,39.6,3.46,12,1,28.8,1,1,2.76,58185.0,0.8,Below Average
FRM000088,Sokoto,Cassava,Harmattan,Loamy,Mixed,Drip,Yes,Yes,yes,0.99,1090.2,29.0,60.3,4.79,98.4,2.07,6,1,4.0,0,0,3.08,37486.0,3.07,Medium
FRM000089,Kaduna,Millet,Dry Season,Sandy,Irrigation,sprinkler,yes,0,Yes,2.38,1055.8,18.0,36.6,5.26,66.0,4.48,5,2,31.6km,1,0,3.98,53562.0,3.31,medium
FRM000090,Jigawa,Maize,dry season,Clay,Rain-fed,None,0,no,No,1.86,1169.9,28.9,53.9,6.96,0.0,2.4,4,2,7.1,1,1,2.59,67196.0,1.21,L
FRM000091,Niger,Soybean,wet season,Sandy,Irrigation,Flood,Yes,Yes,Yes,1.65,1150.5,27.3,79.5,6.11,80.3,2.82,22,1,34.7,1,0,1.88,48199.0,6.11,High
FRM000092,Niger,Groundnut,wet,Silt,Rain-fed,Flood,Yes,No,No,0.97,1135.4,35.4,78.5,5.86,110.2,4.94,9,6,9.1,0,1,2.53,63124.0,1.09,LOW
FRM000093,Taraba,Groundnut,Rainy,loamy,Mixed,None,Yes,Yes,1,2.03,649.3,27.1,71.9,5.4,3.3,2.73,1,7,20.3,0,1,3.58,18014.0,3.2,MEDIUM
FRM000094,Sokoto,Groundnut,dry,loamy,Irrigation,None,Yes,Yes,No,2.77,657.1,24.0,76.3,7.22,46.4,1.83,7,3,3.5,0,1,3.15,44746.0,3.03,M
FRM000095,Niger,Sorghum,Rainy,Sandy,Irrigation,flood,No,Yes,Yes,7.53,422.5,31.5,56.5,5.31,109.7,3.08,24,5,13.8,0,0,0.89,65323.0,1.17,LOW
FRM000096,Bauchi,Yam,Dry Season,clay,Irrigation,None,Yes,yes,No,0.16,720.4,24.5,85.3,6.01,52.0,6.95,16,4,5.2,1,0,3.51,55125.0,2.0,AVERAGE
FRM000097,Yobe,Cowpea,dry,Sandy,Mixed,None,no,Yes,Yes,1.12,597.6,24.2,71.2,6.01 pH,92.9,5.21,19,4,33.2km,1,1,4.07,68916.0,3.37,MODERATE
FRM000098,Kaduna,Wheat,dry,Silt,Rain-fed,drip,Yes,yes,Yes,1.6,763.5,29.4,64.6,6.79,46.9,3.79,5,3,15.3,0,1,0.69 tons,57729.0,2.59,Average
FRM000099,Taraba,Cassava,Wet Season,Sandy,Rain-fed,Sprinkler,Y,No,Yes,2.06,866.0,31.4,54.6,58.2,55.3,3.28,12,5,36.1,1,1,2.49,39538.0,2.26,M
FRM000100,Gombe,Wheat,wet,loamy,Mixed,Sprinkler,Y,Y,yes,2.64,499.9,24.7,48.4,5.68,70.4,2.61,6,5,23.1,0,1,2.78,23524.0,3.3,MODERATE
FRM000101,Kaduna,Yam,WET,Loamy,Rain-fed,Drip,yes,Yes,yes,0.18,1048.2,31.5,71.8,6.57,62.0 kg/ha,4.07,11,1,25.4,1,1,0.95,70440.0,5.2,H
FRM000102,Taraba,Soybean,wet,Silt,Mixed,Sprinkler,Yes,Yes,No,2.63,721.6,29.9,76.5,4.96,64.6,2.86,15,3,12.2,0,1,2.91,37166.0,3.16,MODERATE
FRM000103,Jigawa,Soybean,wet,Loamy,IRRIGATION,None,Yes,Yes,Yes,2.53,1218.2,331.0,46.5,6.61,51.2,3.38,12,4,17.2,1,0,3.17,60307.0,5.15,HIGH
FRM000104,Sokoto,Soybean,Harmattan,Loamy,Rain-fed,Flood,0,yes,yes,1.19,685.2,26.1,62.1%,4.83,63.3,7.17,15,6,6.0,1,0,2.04,86447.0,35.4,MEDIUM
FRM000105,Jigawa,Millet,Harmattan,Clay,Mixed,Flood,No,Yes,No,4.26,506.0,20.1°C,76.0,6.06,46.7,1.23,1,1,14.5,0,0,2.12,51690.0,0.94,very low
FRM000106,Yobe,Maize,Wet Season,Clay,Mixed,Flood,Yes,Yes,N,0.22,892.7,32.2°C,51.5,6.86,57.5,6.81,21,1,27.9,0,0,4.37,70561.0,3.68,Moderate
FRM000107,Yobe,Maize,Wet Season,Sandy,Rain-fed,Sprinkler,yes,No,Yes,2.94,920.4,21.0,62.8,5.71,49.6,6.03,4,4,10.7,1,0,2.69,52050.0,3.87,Average
FRM000108,Benue,Soybean,Wet Season,Sandy,Mixed,none,Yes,Yes,yes,0.93,1154.1,22.5,70.7,5.89,78.3,6.6,7,1,43.8,1,0,1.85,41217.0,2.51,Moderate
FRM000109,Jigawa,Cassava,Wet Season,Loamy,irrigation,None,1,yes,No,7.76 acres,1045.2,30.1,79.1,6.8,66.1,1.41,13,4,10.6,1,1,2.25,45996.0,5.91,HIGH
FRM000110,Kebbi,Sorghum,Dry Season,Sandy,irrigation,Flood,Yes,yes,yes,0.49,1297.0,33.3,68.7,6.32,95.4,3.87,8,3,31.3,0,1,1.84,58610.0,4.74,high
FRM000111,Gombe,Cassava,WET,Silty,Irrigation,None,No,Yes,Yes,2.78,1242.2,29.5,73.5,5.68,66.1,3.89,7,2,12.9,0,1,2.55,44384.0,5.56,High
FRM000112,Plateau,Cassava,Dry Season,Silt,Rainfed,None,No,no,Yes,2.34,945.9,31.6,81.9,6.24,39.4,2.63,13,5,23.2,1,1,1.56,46343.0,3.43,AVERAGE
FRM000113,Jigawa,Maize,DRY,Loamy,irrigation,N/A,No,Y,No,0.11,1171.9,29.4,78.0,7.56,0.0,5.96,16,5,16.0,1,1,3.95,59568.0,3.7,MEDIUM
FRM000114,Benue,Groundnut,Rainy,Sandy,mixed,Flood,Yes,yes,Yes,0.93,1011.3,29.6,66.0,6.72,68.2,2.04,18,3,5.3,1,1,1.26,14459.0,2.76 t/ha,Medium
FRM000115,Zamfara,Cassava,WET,Loamy,Irrigation,Drip,No,yes,Yes,2.57,1093.6,29.0,59.6,6.38,35.7,3.99,5,1,17.3,1,1,2.67,48037.0,4.85,H
FRM000116,Bauchi,Cassava,wet season,Clay,Rain-fed,None,No,1,Yes,1.4,1063.4,30.1,75.1,6.4,90.8,3.97,10,5,9.7,0,1,2.19,48894.0,3.77,Average
FRM000117,Kaduna,Wheat,Dry Season,Sandy,Rain-fed,None,No,yes,Yes,6.13,907.0,28.6,52.0,5.52,69.2,5.96,14,7,16.2,1,1,1.58,37770.0,3.25,Average
FRM000118,Yobe,Groundnut,Wet Season,C,Rain-fed,Drip,Yes,No,Yes,0.22,1120.0,33.3,55.2,6.78 pH,67.3,1.88,15,4,23.7,1,0,3.95,64626.0,3.02,MODERATE
FRM000119,Zamfara,Maize,wet season,Silt,Rain-fed,None,Yes,Yes,Yes,0.8,644.1,33.0,90.8,5.59,50.3,3.85,35,1,17.7,0,0,4.53,43058.0,2.31,M
FRM000120,Benue,Sorghum,DRY,Silt,rain-fed,Drip,No,No,Yes,5.38,662.4,22.1,73.6,7.13,89.8,4.51,8,8,8.2,1,0,4.56,60998.0,2.01,POOR
FRM000121,Taraba,Cowpea,wet season,Sandy,Mixed,N/A,Yes,yes,Yes,0.23,504.4,27.3,96.0,6.12,81.9,4.47,14,3,24.6,1,0,4.09,23030.0,2.88,MODERATE
FRM000122,Plateau,Maize,DRY,Sandy,Rain-fed,drip,Y,Yes,Yes,3.04,682.4,31.4,87.9,6.66,68.8,2.8,6,7,47.4,1,1,3.07,41382.0,4.39,Average
FRM000123,Gombe,Maize,Dry Season,Silty,Rain-fed,Drip,yes,No,No,1.22,1144.9,37.2,61.4,5.56,97.1,3.36,12,1,15.3,0,1,1.87,29360.0,2.0,Low
FRM000124,Gombe,Cassava,Wet Season,Loamy,Rain-fed,Drip,Yes,Yes,no,0.18,835.3,28.4,86.1,6.56,0.0,2.85,20,6,12.7 km,1,0,1.81,46821.0,3.86,MEDIUM
FRM000125,Gombe,Wheat,Rainy,Clay,Rain-fed,Sprinkler,Yes,no,Yes,1.92,750.2,26.2,65.6,5.87,65.4,6.76,5,4,11.1,1,0,2.45,39909.0,1.26,POOR
FRM000126,Bauchi,Yam,Wet Season,Loamy,Irrigation,Sprinkler,Yes,Yes,N,8.99,200.0,30.8,79.1,5.89,84.9,1.88,26,4,2.8,1,1,1.33,65028.0,5.86,H
FRM000127,Plateau,Soybean,dry season,Clay,Rain-fed,Flood,Yes,Yes,Yes,3.61,1022.2,26.3,74.8,6.69,87.1,2.59,7,2,-17.9,1,0,1.7,62001.0,2.84,Moderate
FRM000128,Bauchi,Rice,Rainy,Clay,Irrigation,Drip,No,No,No,1.91,918.8,27.1,68.6,6.17,29.1,1.76,11,1,36.1,0,1,3.79,77265.0,,POOR
FRM000129,Yobe,Wheat,Wet Season,Clay,irrigation,None,TRUE,Yes,Yes,1.76,703.3,25.6,76.5,5.97,80.1,7.51,18,5,10.4,0,0,1.62,39893.0,3.57,medium
FRM000130,Bauchi,Yam,dry season,L,irrigation,Flood,Yes,Yes,Yes,4.52,970.5,27.7,50.8,6.34,62.2,4.1,21,4,15.4,1,1,3.12,57518.0,4.87,high
FRM000131,Kano,Cassava,WET,Sandy,rain-fed,Drip,Yes,No,Yes,3.0,969.3,26.3,73.6,4.46,137.4,4.3,17,1,25.3,0,1,3.71,64119.0,3.5,Medium
